client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0173_00,0,,342,test,0.0,4.130695104598999
f0403_29,0,,398,test,0.0,4.131134033203125
f0723_20,0,,386,test,0.0,4.121904253959656
f0884_29,0,,293,test,0.0,4.131702423095703
f1167_31,0,,296,test,0.0,4.131704489390056
f1437_23,0,,100,test,0.0,4.139012336730957
f1579_11,0,,173,test,0.0,4.12961220741272
f1941_44,0,,181,test,0.0,4.134523868560791
f2178_93,0,,182,test,0.05263157894736842,4.12931752204895
f2407_74,0,,171,test,0.05555555555555555,4.11549711227417
f3152_47,0,,182,test,0.0,4.131335020065308
f3389_44,0,,172,test,0.0,4.133126974105835
f3687_48,0,,173,test,0.0,4.133254051208496
f3882_22,0,,140,test,0.0,4.129661321640015
f0212_24,0,,325,test,0.0,4.138094902038574
f0454_20,0,,90,test,0.0,4.134294509887695
f0761_10,0,,368,test,0.0,4.124179363250732
f0920_11,0,,269,test,0.0,4.136821269989014
f1179_01,0,,164,test,0.0,4.132803916931152
f1446_25,0,,281,test,0.034482758620689655,4.121138254801433
f1687_40,0,,133,test,0.0,4.152521848678589
f1985_18,0,,161,test,0.0,4.125792741775513
f2190_52,0,,180,test,0.0,4.1330554485321045
f2438_76,0,,164,test,0.0,4.148046255111694
f3180_41,0,,143,test,0.06666666666666667,4.124101161956787
f3412_27,0,,166,test,0.0,4.127121448516846
f3709_31,0,,17,test,0.0,4.184902191162109
f3922_38,0,,162,test,0.0,4.128612041473389
f0082_40,0,,246,test,0.0,4.132799943288167
f0342_31,0,,369,test,0.0,4.13590669631958
f0679_42,0,,416,test,0.0,4.133495903015136
f0840_37,0,,239,test,0.0,4.127437114715576
f1101_38,0,,233,test,0.0,4.139310836791992
f1408_02,0,,271,test,0.0,4.134906609853108
f1539_20,0,,176,test,0.0,4.12591814994812
f1837_00,0,,124,test,0.0,4.121264934539795
f2097_31,0,,92,test,0.0,4.147408962249756
f2304_67,0,,152,test,0.0,4.151656627655029
f3116_03,0,,163,test,0.0,4.139816045761108
f3317_25,0,,156,test,0.0,4.129454851150513
f3626_35,0,,145,test,0.0,4.133458137512207
f3818_27,0,,175,test,0.0,4.128301620483398
f0120_29,0,,302,test,0.0,4.120046973228455
f0387_49,0,,315,test,0.0,4.1239013671875
f0710_08,0,,335,test,0.0,4.133122444152832
f0870_31,0,,207,test,0.0,4.120914459228516
f1164_21,0,,240,test,0.0,4.143700281778972
f1431_47,0,,284,test,0.0,4.136345227559407
f1568_21,0,,167,test,0.0,4.122643709182739
f1936_06,0,,173,test,0.0,4.133163928985596
f2146_84,0,,166,test,0.0,4.129039525985718
f2395_78,0,,166,test,0.0,4.135693073272705
f3144_39,0,,180,test,0.0,4.112333059310913
f3385_08,0,,173,test,0.0,4.140918016433716
f3671_04,0,,168,test,0.058823529411764705,4.129415273666382
f3865_26,0,,129,test,0.0,4.1364452838897705
f0207_46,0,,392,test,0.0,4.12200403213501
f0413_09,0,,364,test,0.0,4.123711109161377
f0760_23,0,,221,test,0.0,4.141220569610596
f0900_42,0,,252,test,0.0,4.129319032033284
f1174_47,0,,241,test,0.0,4.137430349985759
f1444_03,0,,340,test,0.0,4.124928712844849
f1645_35,0,,82,test,0.0,4.13432502746582
f1946_25,0,,148,test,0.0,4.12973165512085
f2182_95,0,,165,test,0.0,4.1418468952178955
f2420_84,0,,182,test,0.0,4.142195463180542
f3165_11,0,,184,test,0.0,4.137080192565918
f3399_09,0,,27,test,0.0,4.126827239990234
f3703_10,0,,158,test,0.0,4.1387245655059814
f3887_39,0,,180,test,0.0,4.138098955154419
f0255_48,0,,419,test,0.0,4.130552005767822
f0464_48,0,,206,test,0.0,4.122574647267659
f0762_20,0,,352,test,0.0,4.1376858949661255
f0971_24,0,,333,test,0.0,4.127004027366638
f1199_24,0,,280,test,0.0,4.1261725425720215
f1461_46,0,,230,test,0.0,4.126913229624431
